Protein_ID,Cluster
BC.1,2
BC.2,0
BC.3,2
BC.4,2
BC.5,1
BC.6,1
BC.7,1
BC.8,1
BC.9,1
BC.10,1
BC.11,1
BC.12,1
BC.13,0
BC.14,0
BC.15,2
BC.16,2
BC.17,1
BC.18,1
BC.19,1
BC.20,1
BC.21,1
BC.22,1
BC.23,1
BC.24,0
BC.25,1
BC.26,2
BC.27,1
BC.28,2
BC.29,1
BC.30,1
BC.31,1
BC.32,1
BC.33,1
BC.34,1
BC.35,0
BC.36,0
BC.37,2
BC.38,2
BC.39,2
BC.40,2
BC.41,2
BC.42,2
BC.43,1
BC.44,1
BC.45,1
BC.46,0
BC.47,2
BC.48,2
BC.49,2
BC.50,2
BC.51,2
BC.52,2
BC.53,2
BC.54,2
BC.55,2
BC.56,2
BC.57,0
BC.58,0
BC.59,2
BC.60,2
BC.61,2
BC.62,2
BC.63,2
BC.64,2
BC.65,2
BC.66,2
BC.67,2
BC.68,0
BC.69,2
BC.70,2
BC.71,2
BC.72,2
BC.73,2
BC.74,2
BC.75,2
BC.76,2
BC.77,2
BC.78,2
BC.79,0
BC.80,0
BC.81,2
BC.82,2
BC.83,2
BC.84,2
BC.85,2
BC.86,2
BC.87,2
BC.88,2
BC.89,2
BC.90,0
BC.91,2
BC.92,2
BC.93,2
BC.94,2
BC.95,2
BC.96,2
BC.97,2
BC.98,2
BC.99,2
BC.100,2
BC.101,0
BC.102,0
BC.103,2
BC.104,2
BC.105,2
BC.106,2
BC.107,2
BC.108,2
BC.109,2
BC.110,2
BC.111,2
BC.112,0
BC.113,2
BC.114,2
BC.115,2
BC.116,2
BC.117,2
BC.118,2
BC.119,2
BC.120,2
BC.121,2
BC.122,2
BC.123,0
BC.124,0
BC.125,2
BC.126,2
BC.127,2
BC.128,2
BC.129,2
BC.130,2
BC.131,2
BC.132,2
BC.133,2
BC.134,0
BC.135,2
BC.136,2
BC.137,2
BC.138,2
BC.139,2
BC.140,2
